Country,Variety,AvgPoint,AvgPrice
Portugal,Portuguese Red,88.32,26.22
US,Pinot Noir,88.57,36.57
Spain,Tempranillo,87.29,28.22
Italy,Red Blend,88.62,39.66
France,Bordeaux-style Red Blend,88.73,41.14
Germany,Riesling,89.84,42.26
Argentina,Malbec,86.71,24.51
Chile,Cabernet Sauvignon,86.5,20.79
Australia,Shiraz,88.6,35.44
Austria,Grüner Veltliner,90.19,30.76
South Africa,Sauvignon Blanc,87.83,24.67
New Zealand,Sauvignon Blanc,88.31,26.93
Israel,Cabernet Sauvignon,88.5,31.77
Hungary,Furmint,89.17,40.65
Greece,White Blend,87.29,22.36
Romania,Cabernet Sauvignon,86.4,15.24
Mexico,Red Blend,85.26,26.79
Canada,Riesling,89.38,35.71
Turkey,Red Blend,88.09,24.63
Czech Republic,Red Blend,87.25,24.25
Slovenia,Ribolla Gialla,88.01,24.81
Luxembourg,Sparkling Blend,88.67,23.33
Croatia,Plavac Mali,87.35,25.45
Georgia,Saperavi,87.68,19.32
Uruguay,Tannat,86.75,26.4
England,Sparkling Blend,91.55,51.68
Lebanon,Red Blend,87.69,30.69
Serbia,Red Blend,87.5,24.5
Brazil,Merlot,84.66,23.77
Moldova,Red Blend,87.2,16.75
Morocco,Red Blend,88.57,19.5
Peru,Red Blend,83.56,18.06
India,Shiraz,90.22,13.33
Bulgaria,Red Blend,87.94,14.65
Cyprus,White Blend,87.18,16.27
Armenia,Kangoun,87.5,14.5
Switzerland,Pinot Noir,88.57,85.29
Bosnia and Herzegovina,Blatina,86.5,12.5
Ukraine,Sparkling Blend,84.07,9.21
Slovakia,Riesling,87.0,16.0
Macedonia,Vranec,86.83,15.58
China,Cabernet Blend,89.0,18.0
